time,y1,y2,y'1,y'2,
0,10000,0,0,6.313481144,
600,9291.057917,3698.140449,-2.334813999,5.865891896,
1200,7264.751443,6871.92742,-4.338578419,4.586587125,
1800,4208.387365,9071.354683,-5.727182674,2.656957427,
2400,555.3227062,9984.568929,-6.303738766,0.3506019434,
3000,-3176.48028,9482.086955,-5.986497719,-2.005464835,
3600,-6457.895157,7635.154887,-4.82044064,-4.07717993,
4200,-8823.655305,4705.646296,-2.970900916,-5.570798138,
4800,-9938.323338,1108.931568,-0.7001218541,-6.2745417,
5400,-9643.852242,-2645.016812,1.669926377,-6.088627928,
6000,-7981.994606,-6023.932445,3.80319839,-5.039417243,
6600,-5188.382594,-8548.724236,5.397220926,-3.275675567,
7200,-1659.118028,-9861.405953,6.225980053,-1.047481039,
7800,2105.390255,-9775.854534,6.171967326,1.329234167,
8400,5571.378588,-8304.20018,5.242841125,3.517479366,
9000,8247.409972,-5655.106431,3.570340782,5.206986734,
9600,9754.054156,-2204.184096,1.391607472,6.158203699,
10200,9877.686445,1559.266013,-0.9844396569,6.236258711,
10800,8600.777213,5101.630262,-3.220904646,5.430084475,
11400,6104.377399,7920.642435,-5.000682666,3.85398716,
12000,2742.447578,9616.599258,-6.071421808,1.731439107,
12600,-1008.329542,9949.033699,-6.281303665,-0.6366069547,
13200,-4616.137212,8870.810405,-5.600569422,-2.914389525,
13800,-7569.430097,6534.808949,-4.125739308,-4.778945419,
14400,-9449.465474,3272.24728,-2.06592715,-5.965902208,
15000,-9989.676103,-454.2811493,0.286809547,-6.30696317,
15600,-9113.466375,-4116.397774,2.598879973,-5.753769811,
16200,-6945.07268,-7194.856876,4.542459322,-4.38475854,
16800,-3791.948126,-9253.168614,5.841970557,-2.394039299,
17400,-101.1692519,-9999.488226,6.313158036,-0.06387301643,
18000,3603.95425,-9327.996235,5.889212834,2.27534972,
18600,6798.078786,-7333.902428,4.630245469,4.291954223,
19200,9028.314495,-4299.946208,2.71476293,5.700009332,
19800,9978.439786,-656.3074231,0.414358454,6.299869143,
